GDP per capita growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cote d'Ivoire,,5.8828343475,-2.6233293324,10.0485456677,13.0224552322,-6.8854274216,7.2463743419,0.5321369312,8.125848868,5.1402635347,5.8206385909,4.8301064576,-0.250180415,1.3081639748,-0.2895818464,3.4201975041,7.8500992387,2.4948449707,5.9454434958,-2.1523877156,-14.8641379831,-0.9827505466,-4.0710700282,-7.8980967683,-6.6115228536,0.4699585615,-0.5449478659,-3.8650297026,-2.3187629377,-0.5096706654,-4.3905886971,-3.2676581108,-3.4941454684,-3.3587574367,-2.2563032218,4.0365480634,4.7829095653,2.9743230833,2.2031696271,-0.6921739639,-5.667614326,-1.8631024496,-3.0818944934,-3.1054608139,0.2074652386,-0.368458854,-0.9918979387,-0.035097897,0.4962149548,1.8035829125,0.9852152325,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.3644889991,-10.9232529943,-11.3953343743,5.6427961822,6.3174425838,10.0449123608,4.7259688347,3.5853752124,-2.1945481524,6.7508508838,3.3291547089,4.878265707,5.3710676295,4.151894871,4.2093781974,4.9825078196,5.1546632818,2.2153931242,-5.886581487,-0.9435144243,
Cuba,,,,,,,,,,,,6.6943916074,3.0281469628,1.7414005749,-0.5181082122,8.0594819724,4.2722779701,7.7051958033,5.7680010687,0.4143654042,-5.4107138077,19.0808080114,8.4421891814,4.9509108109,7.3626686153,0.9146606286,-0.751618627,-3.368788292,2.6070505031,-0.350403045,-3.8357452886,-11.3950854084,-12.1820428202,-15.3798702348,0.1862644113,1.9594927239,7.3619500211,2.3821408127,-0.1996269971,5.8366725351,5.5731463609,2.8501347576,1.1085154836,3.4895203094,5.5172445861,11.0112889324,11.9575515404,7.2282221906,4.1332954023,1.4876422186,2.106593117,
Cyprus,,,,,,,,,,,,,,,,,21.2448692579,16.3479769088,7.3783494517,9.0543470631,4.6106408118,0.8288256531,4.7745143623,4.7150440213,7.3577545116,3.6152364694,2.5214073527,5.9072710391,7.5007863513,6.4195106016,5.1399699533,-1.8347441695,6.5278360468,-1.7026280651,3.7322022867,4.1937191373,0.2383779984,0.9079623823,3.7631676514,3.6801449908,3.9314140432,2.91033121,0.8273445198,0.1832488907,1.8269247688,1.4384858835,2.1367466033,3.5980593578,2.4382196017,-2.5190708862,0.5693039998,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3992572647,-0.6168447227,-0.041188536,2.1821690347,6.0100543249,4.1485786192,-0.6238219468,-0.6649257359,1.4431023398,3.7643156753,2.8149959879,2.2127479281,3.5768283745,4.3961261552,6.1105738634,6.4614373438,5.4632053936,1.5772963673,-4.7233194311,2.0271773443,
Denmark,,5.6387435534,4.8474469661,-0.1526100554,8.4001192648,3.7436848679,1.9191980165,2.6094145862,3.3438377184,5.7361514506,1.2623151194,2.2886087512,3.5808264653,3.1339190533,-1.2766759601,-1.5057894438,5.827168398,1.6617394505,1.9573787059,3.69510939,-0.6084795512,-0.8587465367,3.7902208231,2.7223685904,4.2201499096,3.982285139,4.8089884003,0.1629856622,-0.1911763827,0.51258716,1.4425099298,1.0378748134,1.6388137194,-0.4219190151,5.1696309355,2.5296410208,2.2542210246,2.7704874377,1.7901206152,2.2216538454,3.1832059424,0.3446385964,0.1453850216,0.1111476903,2.0324612085,2.1633186271,3.0554664439,1.1337722056,-1.3650851286,-6.3362573696,0.8590757205,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.4622681003,-2.1702053439,-8.0283742237,-2.5019088505,-5.5397655299,-6.7783702585,-3.9245148813,-3.2692806796,-1.0710011043,-2.3766389969,-0.3582956082,0.5161291284,1.2995414217,1.982359188,1.30254313,2.8512851002,3.1255219335,3.7989238649,3.0184440479,,
Dominica,,,,,,,,,,,,,,,,,,,10.5258964913,-19.1865520903,13.6689896526,11.9921807898,4.4225770239,3.2673498105,6.1864267057,2.0754437317,7.9795537628,8.4948494882,9.5047956287,0.4569794297,5.7208796385,0.7272140166,1.8747957745,1.3681111091,1.1910666333,1.9547133169,2.9013310943,1.9750252479,5.6146394895,1.2816180988,-1.7909364914,0.1417890565,-1.6008065188,7.7363792746,3.4841889229,-0.1938717217,4.9884958998,5.9192554834,7.0258336902,-0.098917595,-0.0567354933,
Dominican Rep.,,-5.5237287952,13.2381218418,3.0827683857,3.3938348207,-15.1915028384,10.0234825354,0.2616463598,-2.6708570996,7.7425496599,14.942597347,7.8579964916,7.4585802919,9.9604277088,3.3090458706,2.5824004841,4.1411763629,2.4927749346,-0.2384619809,2.1257557185,5.5044031695,1.9165901223,-0.5867748108,2.3005485152,-0.9703426484,-4.2395196593,1.3190052079,7.8114749773,0.0495793071,2.2784795178,-7.3490723428,-1.0522369097,8.3607817196,5.1788360843,0.4103861732,3.6096234003,5.2898118997,6.2128841988,5.2873073747,5.0312069937,4.011210915,0.2424797103,4.1823702241,-1.7463097874,-0.1812836824,7.6787925004,9.0930023611,6.9534576997,3.8072847098,2.0611576795,6.3385477634,
Ecuador,,-1.3663991151,1.5283959053,0.8398357241,4.6463758892,0.1375277757,-3.0304570744,3.8446310443,-0.6811489827,2.3584069697,4.4747945747,3.3749234337,1.5814699172,12.8292162234,5.2648644711,5.2492088321,4.5928684829,-0.5632364281,3.823042195,2.2994336916,1.5857823679,0.5701877221,-3.2207902131,-5.0930699736,1.148765495,0.2962510542,1.4683287239,-4.5436004761,5.7686446963,-1.3805525389,0.3453666934,2.8587825162,-0.6812226642,-1.791629834,2.6363115937,-0.1310681714,0.636699569,2.3746644905,0.5282499544,-7.7541643659,1.1637527212,3.5994573309,3.338386659,1.5196109473,7.0042319784,4.0305027825,3.1133357453,0.4904294942,5.6622934737,-1.0795384614,2.1248434322,
Egypt,,1.6828175052,4.0956629615,6.2598849509,5.3919955357,6.4708067464,-1.4730572572,-1.8703411646,0.2121837812,4.2639597349,3.148718717,1.1107392687,-0.2140734921,-1.476280003,0.2696652962,6.5664126349,12.1096830879,10.3406568819,3.4142316235,3.6340878039,7.4784716611,1.3376210092,7.3229219055,4.858322366,3.5675577004,4.0630862963,0.193916979,0.0767568644,2.8492969057,2.6465383225,3.5146563766,-0.855640631,2.5700832704,1.1588428715,2.24972953,2.9029158872,3.2311346162,3.7179982334,2.2687737669,4.2726674468,3.5124842136,1.6721500697,0.4936018495,1.2828788744,2.1678936408,2.5594917565,4.9135714995,5.1767106315,5.2659057749,2.8569175807,3.325762852,
El Salvador,,0.4072184298,8.4598093108,1.0086004351,5.9085376887,2.1634126952,4.0138036828,2.4414608468,0.3866464674,0.6856238513,0.2341538792,1.1359105512,3.3991347774,2.2601380916,2.8351643981,0.60728137,2.8132416591,4.6297169452,3.3252665556,-5.8833909655,-13.236805499,-11.8370014561,-7.6617561537,0.1432702726,-0.0046837843,-0.6923956925,-1.0860415543,1.2345685596,0.5950489428,-0.3642645365,3.3733622343,2.0363987393,5.8780219392,5.7247293285,4.5565496036,5.1040149219,0.6876024699,3.3943947044,3.0612004568,2.871395434,1.6505506791,1.270732737,1.9606824654,1.9545843581,1.5081106816,3.1910298451,3.5018423991,3.39074762,0.7990521719,-3.6172691735,0.8926784285,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.9398942276,0.5433223903,-0.5172686869,-4.1272187509,0.0679249518,-4.3719653325,7.0114454056,2.7283423745,1.6097627411,10.5129368208,24.9642010898,65.693503426,18.0257984674,36.9667633091,9.9105403249,56.829756037,15.7494235117,10.4549054801,33.8350911713,6.5081244514,-1.6590614457,18.0177982994,7.6040689908,2.4202234697,-1.7780988783,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5788273751,21.0113132573,2.0118191226,7.5674624151,5.5745693249,-0.9914227022,-3.1401823856,-16.1451839075,4.7394586306,-1.18065332,-6.6833063222,-2.6041320711,-1.2708355926,-4.3633014455,-1.8015910415,-12.5094849202,0.8103048292,-0.8313736124,
Estonia,,,,,,,,,,,,,,,,,,,,,,0.7178850749,4.9418899128,2.9898130704,2.1319545606,-0.1682574264,0.3535362494,2.7030864674,2.2214262566,2.657658741,-7.1253223859,-7.5366944589,-19.7174331458,-3.282449713,0.4836929618,6.8673164492,6.5367845151,12.0730030368,6.3749027032,0.626264677,10.0488855003,8.943522324,8.3760336323,7.9679522219,7.5620896909,9.693690941,10.7715759547,7.0689495542,-4.9929186835,-13.8729291919,3.1254628523,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,-1.88750996,4.9135965664,-5.9438257969,-13.9767766693,6.1962066111,10.2604719036,-2.6908101902,-3.5735665317,-0.6436771415,-10.2307768288,-11.7295520023,9.3956947481,-0.1302696173,2.8508860618,9.1125335792,0.2226543522,-6.0861427121,2.3721248766,3.3083884542,5.5243158027,-1.0392096121,-4.5707621137,10.8435411001,9.203086523,8.312132192,8.9821453844,8.3788704472,6.45860198,7.7971168969,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,0.0162054006,0.0606730253,2.7900642796,1.5599248755,-5.5188832848,-2.6135022904,10.6597594149,5.5409539137,0.4270514117,10.3482133089,4.6620630461,5.2646705487,9.3366909896,0.5544852396,-1.4237905637,0.8248689205,4.0041758052,0.0097972836,10.0235797746,-3.7281397514,3.7642125227,-8.4059194761,-6.3702899662,6.0759340958,-6.1238132987,6.725394884,-7.0164399343,0.7998705112,7.1937672472,5.2210260987,-3.6093977385,4.7981157878,0.6981464255,3.6253264553,1.1883082727,3.5897516672,-3.2421609627,0.3485946408,7.9583754169,-2.2801957084,1.6166768944,3.0032927618,0.8760575477,5.0733567981,0.2775157345,1.1683345615,-1.7079809641,0.0284842225,-2.2768764587,-0.5769457062,
Finland,,6.8479651813,2.2840485666,2.5574723644,4.6548528257,4.9523891273,1.9898469756,1.6170288657,1.8450062071,9.6569041477,5.7335828547,2.2278234908,7.096153642,6.3779788725,2.6974584036,1.3540247427,0.0423515822,-0.0405060123,2.6246263502,6.8484947478,5.061714284,0.8554374921,2.4734175374,2.411636027,2.5581751719,2.8724380078,2.3089146954,3.1968750315,4.915858281,4.699106415,0.060603057,-6.5119284229,-4.0257940355,-1.289469809,3.2078984476,3.56643159,3.2302569534,5.8904255781,4.7525826209,3.6674629031,5.1053191727,2.0511252746,1.5876018581,1.769467134,3.8229825042,2.5644331602,4.010656272,4.8880496239,-0.1722603774,-8.7915587755,3.2455684666,
France,,4.1299602892,5.1979469931,3.8821566387,5.1214011425,3.5483772273,4.1501416861,3.777137087,3.4521120172,6.1952132152,4.9296249891,4.5004292983,3.7021460873,5.7783751866,3.9394797163,-1.7443195634,3.8341573534,3.1073132386,3.4751105179,3.0280683919,1.1853454021,0.4835674767,1.8770929041,0.6703353988,0.9206244005,1.0377574481,1.6808858687,1.8114360998,4.0880791165,3.6350951441,2.1085798313,0.5696625024,1.0350787485,-1.0794842371,1.8346636292,1.6371058559,0.6653076967,1.7775772112,2.9458314592,2.9650389796,2.9797399915,1.1043952021,0.2046017826,0.1939296758,1.799589904,1.0689869132,1.762507863,1.6621571567,-0.6441685149,-3.2640562479,0.9289427106,
French Polynesia,,,,,,,5.796307622,-8.1126772931,10.8410188862,-6.0851065864,-1.8041709395,8.3674202261,-7.6854666968,4.5006709879,14.4186967425,-7.7899888974,4.9202854334,-0.9990483102,6.6001847096,0.835451178,-2.4724929821,5.3402956847,6.8052985354,2.4389645302,2.5407657537,2.6663508804,5.7114157675,4.558262998,0.0699887216,0.7416575698,0.0313303839,2.7537598671,-1.0919097245,-1.8359626883,-1.1480332888,-1.4629875536,-1.6925882177,-0.1387488473,4.1127998298,2.0578981215,2.2030486715,,,,,,,,,,,
Gabon,,14.1413045093,6.7951814832,5.3893889395,3.820082039,7.5307865589,3.7052333271,3.2560552819,1.515488905,6.761051459,6.9990511682,8.1746078454,8.8990261403,7.5264773464,35.9620524487,16.1241698652,32.1029880223,-14.8868420855,-26.087478818,-2.2861959777,-0.3395850487,2.0629296182,-5.9425676196,2.4617426248,4.2666002657,-5.3073398615,-3.8384979197,-19.687442885,9.3629314656,5.1596441733,1.8741398408,2.7303043398,-6.1850777729,0.6721599717,0.5517815764,1.921157021,0.7626562684,2.9576638566,0.8845979221,-11.1153205379,-4.1397136109,-0.1234131551,-2.3820873135,0.378839302,-0.6660952979,1.0255429953,-0.7351972953,3.5926304413,0.4367743631,-3.2227963513,3.8107393776,
Gambia,,,,,,,,-2.031666295,7.1509368994,-0.0516717837,3.3360401023,-2.9784505218,-2.9143906507,5.6805574397,2.4417037703,8.8585643537,4.1011470918,0.3681743056,3.1284123648,-4.4260633453,2.7086525451,-0.3232416412,-4.406077046,6.6031207567,-0.7131673946,-5.1238330088,-0.6943286517,-2.4101885865,-0.4197448471,1.2495746025,-0.5371671084,-0.5075952704,0.1289668289,0.0341495915,-2.6310168308,-1.9138086128,-0.6115655402,2.0073021388,0.63682665,3.4249304323,2.5067432024,2.7432496253,-6.0878109972,3.7205483708,3.9220433785,-3.7269484908,-1.3499954393,2.2604795372,2.5582818418,3.2764179857,2.1418786239,
Georgia,,,,,,,6.3129882474,5.2129094869,3.5131455546,3.8023468519,15.2291576346,1.4077367382,-1.9536869056,5.5490769506,7.8675499389,6.5913799525,5.3352565062,6.1703948456,6.8037583198,6.5826760141,3.6984968728,4.4074297599,1.1415711603,3.3892540323,4.5305364852,4.0256750843,-8.9872452881,0.4493249298,4.5155801468,-7.4386473903,-14.7651573396,-21.6530948041,-45.3251069275,-29.841289556,-9.4877029227,5.3654724589,14.0401661568,12.5798699551,4.12278766,3.6732656692,2.6266242572,5.5676471437,6.1855517823,11.7790076251,6.1171750146,8.5215371676,8.4680186362,12.5897621001,2.423743476,-4.3669765832,5.3833254902,
Germany,,,,,,,,,,,,2.943650192,3.8024759787,4.4480172177,0.8507602906,-0.4964342352,5.4002121266,3.5814370815,3.0981816469,4.1043313327,1.1986939314,0.3762425163,-0.3000577891,1.8390341621,3.1789872183,2.5568835673,2.2405350447,1.2464996359,3.3028637281,3.0961800317,4.3516390562,4.3452200429,1.1399414795,-1.6507664482,2.116937034,1.3786098429,0.4994396147,1.5885323305,1.8464241936,1.8052567179,2.9181712781,1.343741716,-0.1578559473,-0.4305841174,1.183096804,0.7418388882,3.8170370001,3.4072275835,1.2755863653,-4.8863235805,3.8492451422,
Ghana,,0.2152143781,0.9014058569,1.3004528323,-0.6253102228,-1.189854349,-6.4016711629,1.0048917681,-1.5677417801,3.8392682806,7.2251578905,2.506723554,-5.2162136888,-0.0360073125,4.0244554435,-14.4655198087,-5.4023238707,0.5679278778,6.70627897,-4.3702883322,-1.9048641385,-6.2771509104,-9.9559610895,-7.8528693472,4.9631547823,1.746785648,2.1058027428,1.8998651875,2.8218401225,2.2991722745,0.5293444748,2.3570013518,0.961836051,1.9226571112,0.4960995792,1.4047207327,2.0079381242,1.7101467913,2.261369575,1.9759122715,1.2661612722,1.5273051785,1.9953699996,2.6656325147,3.054919275,3.3557628092,3.85284692,3.9199387852,5.8587807373,1.5461341071,5.2155512088,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,10.2717153941,0.9304038426,9.728326022,7.8664928004,8.8821304718,5.3189255955,4.6258728293,5.972476229,9.4988666053,7.7092260553,7.3743270898,9.4463915706,7.6026083262,-6.7820859866,5.3730568622,5.2050822062,1.6103022781,5.8652720608,2.0024576069,-0.3068992817,-2.4324610246,-1.7402524755,-1.6524021626,1.5036716362,2.1122949996,0.1857380341,-2.5851235262,3.9097772619,3.2597296104,-0.663627551,2.1008953544,-0.4028977425,-2.4994425125,1.1542040757,1.3186861554,1.6435774544,2.9900861402,2.806782274,2.9660887277,4.1434028244,3.8880223986,3.0853054892,5.5976703123,4.0073359603,1.89104343,5.1217221451,2.5885153549,-0.5507517339,-3.6421943453,-3.8001314402,
Greenland,,,,,,,,,,,,11.1445686228,3.7591572331,5.2802082948,4.6385133245,0.4433235861,5.7460120047,9.4831789097,6.4476793871,4.0149486979,7.377089023,-0.9137825608,-5.3476257504,2.2657710639,-6.2591646732,2.6821734954,6.4967768329,4.3456415222,4.2546591524,5.6951721509,-12.1958660117,0.0665112919,-4.7685236221,-4.8558821148,5.3518055871,3.1709980252,1.3480094542,1.287732042,7.5658987358,1.3778849466,6.9110247732,0.9994640098,-1.4085844027,-0.6691953007,2.4023299765,1.9383888883,4.7652345628,5.9216418691,0.75029982,-5.4035893676,,
Grenada,,,,,,,,,,,,,,,,,,,6.7446807227,6.6143534788,-0.9247762112,-0.8949936953,2.0929237298,-0.1733946409,2.168290291,6.4952832449,7.9921068703,12.0072396713,4.8195261281,7.3795241874,5.8389649897,2.1185724012,-1.0613006372,-3.7291346432,1.6142670969,1.6340724087,3.4953084999,4.2651233645,6.3524424473,9.9258846491,12.430268415,-4.1094280682,1.9183366053,8.1883795826,-6.7090864075,11.7349945001,-2.217524894,5.4184854539,1.092919805,-8.6733910483,-0.7364481706,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,1.5009527483,0.7608986546,6.6077512925,1.8370034224,1.5803700208,2.7117960642,1.3596569393,5.8925328368,1.9608478151,2.8926673782,2.7534399738,4.4475684919,3.9314341442,3.5873987043,-0.6521940794,4.7274882675,5.2061022936,2.4980995042,2.2210689739,1.2668574491,-1.8017056352,-5.8944015388,-4.9567315537,-1.9317217614,-2.9632113081,-2.17728003,1.1861156528,1.5515211234,1.6040498439,0.7719918868,1.2974722097,2.4371086691,1.5427203929,1.6560315282,2.5658468509,0.6391263105,2.023346612,2.627569866,1.470400861,1.1859071395,-0.1166165584,1.3341809819,0.0034943117,0.6059188803,0.7236327247,2.8109656674,3.7262501139,0.7765213237,-1.9086160319,0.2445110389,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.815622989,3.4067545192,0.3911429558,-0.2576018155,-2.8584821638,-2.8399306821,-1.1484156988,-1.4514905243,0.2426750945,1.9804307323,2.3377711422,3.1466977703,3.2281379297,0.4372671954,1.3313976997,2.1699500268,3.7420501627,0.6652930745,1.2651465362,0.7085627214,-0.1059944324,2.9006986664,-2.3448625328,-0.3219047027,
Guinea-Bissau,,,,,,,,,,,,-5.6220603284,3.8303824957,-1.8269168822,1.1315273779,4.0456562829,0.9991633813,-10.8101562982,8.7694965457,-1.5979931872,-18.5094859476,15.1956142839,2.0396112505,-5.121845194,7.2503733284,2.3236990883,-2.6401064039,0.9319067379,2.5531937895,4.0006143379,3.9945824461,2.9992785062,-0.9440773338,0.0284630267,1.1195385688,2.3230245106,9.4109869432,4.4338098049,-29.483421941,5.7344494462,5.4418553103,-1.7170893106,-8.877347568,-1.8602879545,-1.2585253155,2.2503095606,0.1019018291,1.1225185563,1.1222866229,0.888595069,1.3634598703,
Guyana,,1.8391465723,-1.5768874494,-14.5703880858,8.4551027236,7.6494543863,2.4439447197,1.5596095001,-1.4889553699,4.6819123067,2.452816448,1.8330463407,-4.1095793291,0.6773154829,7.1316890636,7.7740077272,0.6811072727,-3.571711678,-2.7107145835,-2.4917737787,1.4578346481,1.66196975,-12.7324119513,-6.0511670474,-4.1604101489,3.3346531595,-0.0198989961,1.7772589948,-2.9335225132,-4.3362062751,-2.6079342444,6.2018683589,7.8065607067,8.0206707536,8.2778983868,4.7805172248,7.7338484748,6.1173359835,-1.8047785442,2.8237657244,-1.592685357,1.9404655765,0.6834982738,-1.3945938604,2.9025499757,-2.2843192232,4.8365528038,6.7507839289,1.7950711703,3.1031435048,3.327346755,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.2151305422,-7.3029812377,-13.677834367,7.7649367758,2.1358586134,0.758072099,0.2847779578,0.861369324,-0.882674323,-2.6923768231,-1.8537503146,-1.1874179054,-4.9562349922,0.3335772198,0.8304458228,1.9524159056,-0.4805609112,1.5509350023,-6.2751310955,
Honduras,,-1.4260471638,2.2988330296,0.2089117158,2.1056118964,5.7937058397,2.4248056682,3.1552944041,3.8393573927,-1.9527008624,0.8824058626,1.1754821469,2.8410847194,4.8261196042,-4.0792019993,-0.8846044297,7.164773186,6.9893706561,6.5890243234,1.4135963237,-2.4369006549,-0.5985288766,-4.3749906153,-3.8977824111,1.2323870561,1.0953308943,-2.2469020035,2.9367015647,1.5950832708,1.3657267014,-2.6915278365,0.4271079539,2.7914213061,3.4576510632,-3.786561734,1.5541603232,1.2079464222,2.6727261605,0.7030700085,-3.9379746798,3.571554457,0.6335455192,1.6680095416,2.4620229935,4.1245571771,3.9525215242,4.463349034,4.0961334575,2.1774088706,-4.0639447497,0.7437942432,
"Hong Kong, China",,11.5720216179,9.8401938133,7.8947378229,8.9360777477,13.5728932734,5.9118784712,-0.5887144207,1.0689541231,10.1965248431,6.8790759081,5.1162147489,8.8950771496,14.1323662392,-0.015730619,-2.3388146265,15.0089589255,10.0424493697,6.5180701508,5.701694572,7.3989862825,6.7801104181,1.3349249074,4.3680760854,8.8474436725,-0.4040579444,9.7223370113,12.0741638136,7.7297593628,1.1686704122,3.5651740354,4.8217077827,5.2059933352,4.237147198,3.6525450646,0.2876555187,-0.3306722245,4.1852958165,-6.8076211996,1.5810742969,7.0039980007,-0.2406035305,1.3909825903,3.2095526523,7.6239504285,6.6153124421,6.3346216398,5.3324916342,1.5468291796,-3.0218798788,5.9969281712,
Hungary,,,,,,,7.0758791954,7.1006762619,4.498936418,6.4546180628,4.3031229813,5.8965154405,5.7841841925,6.5560404062,5.4283943554,5.5772899357,3.0315755448,7.1012701973,4.040519945,2.5145400962,0.1347973069,2.8597731227,2.9017334137,0.8744065483,2.8636698826,-0.0715154937,1.708294076,4.2259728692,0.0880272078,1.8394230991,-2.4944992285,-11.8870465996,-3.0262355624,-0.462665213,3.0881683069,1.6309175967,0.3330770058,3.3351510191,4.3158990459,3.4904282804,4.4963300681,3.950370288,4.804114961,4.1483122119,5.02950548,4.1714030057,4.0590723174,0.2699121931,1.0709693606,-6.6541354832,1.4875025918,
Iceland,,-2.0128830332,6.3247523215,8.3379358343,7.9797449819,5.5273473787,6.9100460417,-2.8474744907,-6.7589291232,1.4277052669,6.894672992,12.1501980924,4.6344562408,5.2063115773,4.285800444,-0.6328206478,4.9125474528,8.0151832292,5.1924347221,3.8395463909,4.6340674571,3.082534249,0.7982422524,-3.4381846148,3.027443626,2.4824329798,5.4948605224,7.3631700638,-1.6423478518,-0.9755004145,0.3856656193,-1.3734066411,-4.5805314108,0.2885019515,2.7146204953,-0.425046308,4.2208387652,4.0572545041,5.1843663076,2.842993763,2.9059893822,2.5493180877,-0.7508991097,1.7275075121,6.8932151051,5.5460090816,2.2796338694,3.3371270727,-0.5962333153,-6.9904185606,-3.8492415276,
India,,1.7978524807,1.0552636605,4.1150345011,5.2233250408,19.0809968328,-2.147908394,5.5268449904,1.1356467142,4.2008233468,2.81380767,-0.6604582194,-2.8163327432,0.9416374522,-1.1600155181,6.6050387183,-0.721829935,4.7450711702,3.2336683671,-7.4463817144,4.2734350739,3.5679473259,1.1146616821,4.8841965243,1.5071705408,2.9075732802,2.474331947,1.706794821,7.2947011067,3.7210879985,3.34565798,-0.9901110333,3.3760985288,2.7177654533,4.6089936368,5.5491269527,5.5794596083,2.1820536611,4.3257952849,5.5439914033,2.2892196196,3.5006064194,2.1160255257,6.6862108898,6.6288709115,7.6838362929,7.6667442398,8.2330291068,3.4439405775,7.5803185093,7.30710496,
Indonesia,,3.5384203414,-0.5767912647,-4.6577506015,0.8834193103,-1.5806983859,0.2578709599,-1.4332222661,9.1967326251,4.7591742967,5.4266977338,4.3146133539,5.1949038311,7.0635830549,5.608724034,3.616069061,3.4606481663,6.083656655,6.6740751555,4.6391718543,6.2621693624,5.7259411325,-1.1281149597,6.1044726012,4.9199818508,1.3772709372,3.8923837898,3.3146950549,4.4201862868,7.1636215339,7.14016258,7.1229876886,5.4979712453,5.5841224413,5.9184980785,6.8134189294,6.1224280851,3.2669856344,-14.2869689191,-0.5352102166,3.5509438524,2.2973273895,3.1526602889,3.4517783659,3.7368264565,4.4386722404,4.300856191,5.1815768223,4.8904419669,3.4905903046,5.0186849158,
Iran,,,,,,,7.511813866,7.6781917194,9.4984736385,9.917150821,6.9645474302,10.0639617297,13.298172164,2.781780903,6.4325883298,2.7643999737,14.2615898644,-4.3155735561,-10.4224151357,-10.2136242515,-16.2419910244,-8.5999900463,8.8196109587,8.4381544585,-5.2219723847,-1.6807711722,-12.4835867387,-4.9402689899,-9.4787569992,2.9451508066,10.7190834355,10.1827675466,2.4313970756,-3.058425164,-1.8217097904,1.0233925526,5.2365147973,1.4824286017,0.824683338,0.1176222615,3.4310471969,2.1513170177,6.0770569437,5.7787791124,3.8155564582,3.3650739717,4.6185670015,6.5366476767,1.091757082,0.6198631617,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7877991813,21.0854401916,-7.1484244685,-8.9374147566,-10.1073837319,-42.7690176254,42.8337124,-3.185066884,3.0831770585,-1.4788844498,6.2863266281,1.141874289,-2.115880552,
Ireland,,,,,,,,,,,,2.266206331,4.9188839821,3.0554438943,2.5471115938,3.9324096149,-0.124005859,6.755907853,5.676769184,1.7087940395,1.899814056,2.1224047045,1.3208883777,-0.9489430138,3.7098250918,2.9207376411,-0.4737595725,4.6522170038,5.6685904972,6.2340054557,8.3750284535,1.3451834478,2.6407000513,2.180482408,5.3397901686,9.0737427037,7.2894404672,10.3847671137,7.3053714511,9.4840247389,7.7903569554,3.1373960311,4.103920984,2.4765185047,2.6143714854,3.0693968291,2.8292524573,2.8504982841,-4.4793935877,-7.6882399753,-0.7866496963,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,0.0465279114,17.6848761951,7.8720709036,9.4348012099,4.7457930359,2.6340925452,0.6743163807,0.3038902384,2.3114392273,3.655651708,3.6177951261,6.6448643816,7.2226413467,11.9355628558,12.1621659576,4.0888916036,4.324808938,4.9637996138,5.5266791788,4.4448809974,5.1268720154,6.8928980868,6.6990751573,,,,
Israel,,7.5914136123,4.9677784315,6.6941025299,3.7505372506,5.3482501197,-2.5881056917,-1.3574106234,13.836664997,10.6446529843,3.8073931808,7.7813685979,10.8084862756,-0.7558493817,3.7081334835,0.9858308754,-0.9209524087,-2.2220171167,2.6341818648,3.589779993,4.3359242228,3.0746699725,-0.085398909,1.6448524723,-0.4063685652,1.6393796498,3.1826323916,5.4703289866,0.3474725119,-0.8276424499,3.5799683686,1.4102053507,2.0402025996,2.7880357416,4.1986174976,3.8653852945,2.9017841376,0.3277287679,1.9202185677,0.7033660869,6.3489215354,-2.3710256317,-2.6455359102,-0.3047909095,3.1586830104,3.2622702341,3.8462995125,3.4609084857,2.4257109963,-1.6140084705,2.7567140731,
